ID,Prix,Quantite,Remise,CA_Brut,CA_Net,TVA
101,60.65,11,5,667.15,633.7924999999999,126.75849999999998
102,50.73,17,20,862.41,689.928,137.9856
103,84.59,2,10,169.18,152.262,30.4524
104,41.46,14,20,580.44,464.3520000000001,92.87040000000002
105,94.33,2,5,188.66,179.22699999999998,35.8454
106,74.7,13,20,971.1,776.8800000000001,155.37600000000003
107,75.57,1,5,75.57,71.79149999999998,14.358299999999998
108,34.99,6,10,209.94,188.946,37.7892
109,44.12,19,20,838.28,670.624,134.12480000000002
110,31.55,3,15,94.65,80.4525,16.090500000000002
111,26.24,15,15,393.59999999999997,334.55999999999995,66.91199999999999
112,44.62,16,10,713.92,642.528,128.50560000000002
113,90.94,19,15,1727.86,1468.6809999999998,293.7362
114,24.67,7,0,172.69,172.69,34.538000000000004
115,42.87,8,0,342.96,342.96,68.592
116,24.38,13,5,316.94,301.09299999999996,60.218599999999995
117,67.02,19,5,1273.3799999999999,1209.7109999999998,241.94219999999996
118,43.69,16,20,699.04,559.232,111.8464
119,89.73,2,20,179.46,143.568,28.713600000000003
120,84.01,7,20,588.07,470.4560000000001,94.09120000000001
121,21.04,11,15,231.44,196.724,39.3448
122,39.12,20,0,782.4,782.4,156.48000000000002
123,61.71,13,5,802.23,762.1184999999999,152.4237
124,54.78,13,10,712.14,640.926,128.1852
125,17.08,8,20,136.64,109.312,21.8624
126,17.61,2,10,35.22,31.698,6.339600000000001
127,79.93,4,0,319.72,319.72,63.94400000000001
128,10.75,18,0,193.5,193.5,38.7
129,29.58,1,5,29.58,28.100999999999996,5.6202
130,26.55,15,5,398.25,378.3375,75.6675
131,37.24,5,15,186.20000000000002,158.27,31.654000000000003
132,19.86,1,0,19.86,19.86,3.972
133,12.52,17,5,212.84,202.198,40.439600000000006
134,54.9,7,20,384.3,307.44000000000005,61.488000000000014
135,31.97,7,10,223.79,201.411,40.2822
136,96.45,15,0,1446.75,1446.75,289.35
137,43.29,16,10,692.64,623.376,124.6752
138,72.16,10,20,721.5999999999999,577.28,115.456
139,40.78,20,5,815.6,774.8199999999999,154.964
140,65.83,18,5,1184.94,1125.693,225.1386
141,5.42,18,20,97.56,78.048,15.6096
142,36.85,13,0,479.05,479.05,95.81
143,67.46,17,10,1146.82,1032.138,206.42759999999998
144,44.78,9,5,403.02,382.86899999999997,76.57379999999999
145,86.7,5,5,433.5,411.825,82.36500000000001
146,59.67,1,0,59.67,59.67,11.934000000000001
147,11.19,16,5,179.04,170.088,34.0176
148,5.11,14,0,71.54,71.54,14.308000000000002
149,13.07,10,0,130.7,130.7,26.14
150,51.8,18,10,932.4,839.16,167.832
151,33.7,10,0,337.0,337.0,67.4
152,31.26,12,5,375.12,356.364,71.2728
153,90.74,15,0,1361.1,1361.1,272.21999999999997
154,90.06,1,20,90.06,72.048,14.409600000000001
155,84.94,20,5,1698.8,1613.86,322.772
156,64.02,10,5,640.1999999999999,608.1899999999999,121.63799999999999
157,65.11,17,5,1106.87,1051.5265,210.3053
158,76.28,2,5,152.56,144.932,28.9864
159,43.75,7,5,306.25,290.9375,58.1875
160,35.58,8,10,284.64,256.176,51.2352
161,82.56,1,10,82.56,74.304,14.860800000000001
162,58.57,18,0,1054.26,1054.26,210.852
163,31.23,20,10,624.6,562.14,112.428
164,12.64,11,5,139.04000000000002,132.08800000000002,26.417600000000007
165,24.33,13,20,316.28999999999996,253.03199999999998,50.6064
166,79.47,18,5,1430.46,1358.937,271.7874
167,29.44,12,20,353.28000000000003,282.624,56.524800000000006
168,9.53,13,0,123.88999999999999,123.88999999999999,24.778
169,92.5,8,10,740.0,666.0,133.20000000000002
170,39.94,6,20,239.64,191.712,38.3424
171,53.82,18,5,968.76,920.322,184.0644
172,70.31,15,5,1054.65,1001.9175,200.38350000000003
173,76.22,12,5,914.64,868.9079999999999,173.7816
174,82.87,4,5,331.48,314.906,62.9812
175,25.5,16,20,408.0,326.40000000000003,65.28000000000002
176,51.37,14,10,719.18,647.262,129.45239999999998
177,34.33,9,0,308.96999999999997,308.96999999999997,61.794
178,54.75,18,15,985.5,837.675,167.535
179,38.35,4,5,153.4,145.73,29.146
