ID,Prix,Quantite,Remise
101,54.74,8,0
102,26.08,7,15
103,39.35,1,15
104,79.8,15,0
105,33.51,10,15
106,56.73,14,20
107,25.35,13,5
108,97.81,3,20
109,75.52,19,0
110,26.13,18,20
111,66.31,13,5
112,63.56,7,0
113,51.52,17,20
114,21.63,9,20
115,90.29,14,15
116,55.76,4,15
117,48.43,12,20
118,59.06,10,10
119,94.05,17,15
120,83.86,12,0
121,15.3,20,10
122,9.18,12,10
123,47.76,2,10
124,31.39,9,15
125,15.96,5,5
126,66.62,4,15
127,32.02,14,0
128,59.96,6,20
129,93.46,19,20
130,89.3,11,15
131,8.32,19,20
132,40.33,12,20
133,53.81,3,15
134,10.37,9,20
135,98.34,13,10
136,66.34,3,20
137,91.31,18,20
138,41.52,13,5
139,35.11,18,0
140,50.5,14,5
141,58.75,14,15
142,94.03,4,0
143,80.26,2,0
144,5.25,16,15
145,88.34,6,20
146,71.71,14,0
147,40.66,6,20
148,48.49,13,15
149,92.82,5,0
150,75.72,18,15
151,8.65,13,20
152,60.86,19,5
153,70.5,8,5
154,72.6,13,0
155,68.16,3,15
156,85.79,5,0
157,66.57,2,0
158,68.6,20,5
159,9.77,14,5
160,76.82,19,5
161,96.03,2,10
162,77.55,13,10
163,14.07,20,10
164,95.55,12,5
165,60.23,13,15
166,69.67,17,15
167,24.67,12,15
168,62.13,9,0
169,44.27,4,20
170,25.96,4,10
171,5.87,7,15
172,54.66,5,20
173,13.67,16,10
174,80.03,3,5
175,73.99,20,15
176,66.9,8,15
177,19.15,15,20
178,95.21,17,5
179,12.81,5,10
180,26.04,18,10
181,53.25,7,20
182,61.2,4,0
183,69.81,12,0
184,57.1,17,0
185,30.31,20,15
186,68.01,18,20
187,96.59,19,5
188,51.99,3,5
189,22.37,16,15
190,66.6,18,10
191,58.25,9,5
192,60.01,4,5
193,95.99,10,0
194,30.17,14,20
195,93.38,20,20
196,49.57,6,20
197,33.04,12,15
198,54.11,10,15
199,85.92,20,0
200,12.89,9,15
201,24.24,1,15
202,30.55,8,0
203,35.36,12,5
204,42.75,8,5
205,16.13,13,5
206,81.58,10,10
207,61.13,20,5
208,87.04,8,20
209,93.95,4,5
210,39.87,18,5
211,40.23,18,15
212,88.07,16,10
213,32.3,20,20
214,94.25,15,10
215,35.34,18,20
216,97.89,15,5
217,9.45,16,0
218,21.12,7,20
219,99.35,20,20
220,22.29,2,0
221,20.9,12,0
222,15.57,18,20
223,56.09,7,5
224,18.03,14,15
225,65.44,8,10
226,88.42,6,15
227,29.62,7,15
228,19.01,4,20
229,92.14,5,20
230,68.38,3,15
231,16.82,10,5
232,99.48,5,20
233,50.31,14,15
234,85.49,2,20
235,24.34,15,20
236,59.27,12,20
237,15.93,1,5
238,87.92,17,20
239,97.45,9,15
240,79.98,3,10
241,63.27,1,15
242,37.51,8,5
243,6.7,19,0
244,20.97,19,0
245,53.05,1,15
246,26.26,13,10
247,41.58,9,5
248,17.38,6,5
249,66.43,2,15
250,82.35,14,20
251,83.09,12,15
252,39.89,11,0
253,59.21,10,10
254,51.8,5,0
255,69.57,2,20
256,22.77,14,0
257,74.54,4,10
258,66.76,9,0
259,44.3,3,5
260,82.07,5,5
261,69.69,13,20
262,56.76,6,20
263,9.93,12,5
264,57.67,20,0
265,64.06,20,5
266,9.73,19,10
267,36.23,13,5
268,45.8,1,5
269,66.63,20,20
270,64.99,8,5
271,30.41,13,0
272,56.14,6,20
273,8.51,14,0
274,50.26,1,10
275,75.64,12,10
276,74.19,3,0
277,42.95,11,15
278,38.1,13,0
279,66.4,1,20
280,67.87,19,20
281,35.39,20,10
282,15.56,3,20
283,85.29,20,0
284,24.21,15,0
285,67.59,15,10
286,15.02,9,20
287,75.36,4,15
288,47.44,3,10
289,43.48,17,5
290,48.37,12,10
291,46.92,20,10
292,56.97,20,15
293,46.44,17,20
294,96.81,11,5
295,27.25,5,5
296,82.29,11,5
297,56.18,19,5
298,65.05,11,15
299,91.86,2,20
300,98.11,14,5
301,98.2,12,5
302,35.52,18,0
303,26.31,16,15
304,39.15,18,20
305,46.74,5,20
306,90.0,8,0
307,65.3,12,15
308,70.48,4,20
309,20.54,7,5
310,51.13,11,0
311,34.09,19,20
312,16.97,3,20
313,88.18,11,5
314,45.68,15,15
315,98.44,15,10
316,60.65,6,10
317,33.6,12,0
318,28.13,20,10
319,45.32,11,20
320,10.47,17,20
321,64.36,15,10
322,82.69,13,20
323,36.95,9,10
324,52.36,20,20
325,45.11,11,0
326,6.23,9,20
327,76.62,15,15
328,14.62,20,10
329,93.08,19,5
330,17.79,7,5
331,41.82,8,0
332,54.2,14,20
333,47.5,9,15
334,83.21,6,20
335,10.72,3,15
336,78.68,16,5
337,39.61,6,0
338,44.18,16,20
339,90.75,10,0
340,53.55,7,20
341,61.89,17,0
342,60.35,3,5
343,45.22,5,10
344,8.43,20,5
345,43.36,14,0
346,59.92,15,0
347,37.22,9,0
348,47.7,10,10
349,48.36,10,10
350,57.4,6,0
351,27.52,5,20
352,97.75,11,20
353,51.23,18,10
354,42.79,11,10
355,38.09,12,5
356,76.79,11,20
357,44.27,6,5
358,61.76,11,15
359,77.67,5,20
360,69.79,7,0
361,48.34,10,20
362,19.05,16,15
363,61.22,12,10
364,66.48,6,5
365,95.89,10,20
366,52.09,18,15
367,9.08,6,0
368,52.51,18,15
369,93.5,11,0
370,57.63,4,5
371,40.23,17,5
372,18.57,19,20
373,45.27,19,10
374,42.06,15,10
375,21.16,15,15
376,7.5,9,15
377,85.29,5,15
378,15.28,19,0
379,75.44,12,5
380,10.22,17,15
381,46.82,19,20
382,65.69,15,15
383,24.58,15,10
384,36.05,4,0
385,24.34,16,15
386,90.26,15,20
387,81.99,15,10
388,17.21,13,10
389,41.26,11,20
390,81.47,19,10
391,73.64,3,15
392,32.37,13,15
393,36.89,1,10
394,51.4,6,5
395,79.58,11,20
396,77.43,18,10
397,10.79,13,20
